id,event_id,position,bib_number,name,club,gender,category,finish_time,average_pace,points,laps,best_lap,distance,created_at,updated_at
1,1,1,101,Maria Silva,Santarém Runners Association,F,OVERALL,00:23:45,4:45,100,1,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
2,1,2,102,João Pereira,,M,OVERALL,00:24:10,4:50,98,1,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
3,1,3,103,Ana Costa,Clube de Corrida Tapajós,F,U23,00:25:02,5:00,96,1,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
4,1,4,104,Carlos Souza,,M,40-49,00:26:33,5:19,94,1,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
5,1,5,105,,,M,OVERALL,00:27:01,5:24,92,1,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
6,1,,106,Beatriz Lima,,F,50-59,,,,,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
1,1,1,101,Maria Silva,Santarém Runners Association,F,OVERALL,00:23:45,4:45,100,1,,5000,2024-10-27 12:00:00,2024-10-27 12:00:00
7,2,1,201,Pedro Alves,Santarém Runners Association,M,OVERALL,00:34:12,3:25,100,1,,10000,2024-11-10 13:00:00,2024-11-10 13:00:00
8,2,2,202,Fernanda Rocha,,F,OVERALL,00:38:47,3:53,97,1,,10000,2024-11-10 13:00:00,2024-11-10 13:00:00
9,2,3,203,Ricardo Nunes,Clube de Corrida Tapajós,M,60+,00:41:05,4:06,95,1,,10000,2024-11-10 13:00:00,2024-11-10 13:00:00
10,2,4,204,Juliana Dias,,F,U23,00:42:19,4:14,93,1,,10000,2024-11-10 13:00:00,2024-11-10 13:00:00
11,2,5,205,Marcos Vieira,,M,40-49,00:44:50,4:29,91,1,,10000,2024-11-10 13:00:00,2024-11-10 13:00:00
